Filename,Paths
msbuild.exe,C:\Windows\Microsoft.NET\Framework64\v3.5\Msbuild.exe
msbuild.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\Msbuild.exe
msbuild.exe,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\Msbuild.exe
msbuild.exe,C:\Program Files (x86)\MSBuild\14.0\bin\MSBuild.exe
msbuild.exe,C:\Windows\Microsoft.NET\Framework\v2.0.50727\Msbuild.exe
msbuild.exe,C:\Windows\Microsoft.NET\Framework64\v2.0.50727\Msbuild.exe
msbuild.exe,C:\Windows\Microsoft.NET\Framework\v3.5\Msbuild.exe
msbuild.exe,C:\Windows\Microsoft.NET\Framework64\v3.5\Msbuild.exe
msbuild.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\Msbuild.exe
msbuild.exe,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\Msbuild.exe
msbuild.exe,C:\Program Files (x86)\MSBuild\14.0\bin\MSBuild.exe
msbuild.exe,C:\Windows\Microsoft.NET\Framework\v2.0.50727\Msbuild.exe
msbuild.exe,C:\Windows\Microsoft.NET\Framework64\v2.0.50727\Msbuild.exe
msbuild.exe,C:\Windows\Microsoft.NET\Framework\v3.5\Msbuild.exe
msbuild.exe,C:\Windows\Microsoft.NET\Framework64\v3.5\Msbuild.exe
msbuild.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\Msbuild.exe
msbuild.exe,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\Msbuild.exe
msbuild.exe,C:\Program Files (x86)\MSBuild\14.0\bin\MSBuild.exe
msbuild.exe,C:\Windows\Microsoft.NET\Framework\v2.0.50727\Msbuild.exe
msbuild.exe,C:\Windows\Microsoft.NET\Framework64\v2.0.50727\Msbuild.exe
msbuild.exe,C:\Windows\Microsoft.NET\Framework\v3.5\Msbuild.exe
msbuild.exe,C:\Windows\Microsoft.NET\Framework64\v3.5\Msbuild.exe
msbuild.exe,C:\Windows\Microsoft.NET\Framework\v4.0.30319\Msbuild.exe
msbuild.exe,C:\Windows\Microsoft.NET\Framework64\v4.0.30319\Msbuild.exe
msbuild.exe,C:\Program Files (x86)\MSBuild\14.0\bin\MSBuild.exe
msconfig.exe,C:\Windows\System32\msconfig.exe
msdt.exe,C:\Windows\System32\Msdt.exe
msdt.exe,C:\Windows\SysWOW64\Msdt.exe
msdt.exe,C:\Windows\System32\Msdt.exe
msdt.exe,C:\Windows\SysWOW64\Msdt.exe
msdt.exe,C:\Windows\System32\Msdt.exe
msdt.exe,C:\Windows\SysWOW64\Msdt.exe
msedge.exe,C:\Program Files\Microsoft\Edge\Application\msedge.exe
msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
msedge.exe,C:\Program Files\Microsoft\Edge\Application\msedge.exe
msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
msedge.exe,C:\Program Files\Microsoft\Edge\Application\msedge.exe
msedge.exe,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
mshta.exe,C:\Windows\System32\mshta.exe
mshta.exe,C:\Windows\SysWOW64\mshta.exe
msiexec.exe,C:\Windows\System32\msiexec.exe
msiexec.exe,C:\Windows\SysWOW64\msiexec.exe
netsh.exe,C:\WINDOWS\System32\Netsh.exe
netsh.exe,C:\WINDOWS\SysWOW64\Netsh.exe
